eta,rule,radius,n_units,delta_phi_energy_mean,delta_phi_energy_sem,phi_energy_raw_mean,phi_energy_raw_sem
0.05,eta_0p05,0.01,30,0.0056214364594287,0.0001911928089195,-0.0005903433385684,8.95073031312929e-05
0.05,eta_0p05,0.02,30,0.0055667499602803,0.0001856955629926,-0.0006450298377168,9.587163449267012e-05
0.05,eta_0p05,0.03,30,0.0054481192113232,0.0001754747035008,-0.000763660586674,0.0001073038136999
0.05,eta_0p05,0.04,30,0.00522136247912,0.0001602540999387,-0.0009904173188771,0.0001231891638214
0.05,eta_0p05,0.05,30,0.0048318034851261,0.0001397301074672,-0.001379976312871,0.0001432622393441
0.05,eta_0p05,0.06,30,0.0042601661834986,0.0001163618778559,-0.0019516136144985,0.00016515983282
0.05,eta_0p05,0.07,30,0.0034799072005635,9.230332619801824e-05,-0.0027318725974336,0.0001862638142218
0.05,eta_0p05,0.08,30,0.0025142684052501,7.37048653647636e-05,-0.003697511392747,0.0002076753038411
0.05,eta_0p05,0.09,30,0.0013364907566467,4.556787504602618e-05,-0.0048752890413504,0.0002286838819459
0.05,eta_0p05,0.1,30,0.0,0.0,-0.0062117797979972,0.0002598693081629
0.05,eta_0p05,0.11,30,-0.0015204135807351,6.793973216904004e-05,-0.0077321933787323,0.000291726703544
0.05,eta_0p05,0.12,30,-0.003164336600362,8.371230742482376e-05,-0.0093761163983592,0.0002976045257622
0.05,eta_0p05,0.13,30,-0.0048441433709585,0.0001209038650944,-0.0110559231689557,0.0003362297175377
0.05,eta_0p05,0.14,30,-0.0067801657859719,0.0001538820231982,-0.0129919455839691,0.0003506451022167
0.05,eta_0p05,0.15,30,-0.0089581475241619,0.0001977516682485,-0.0151699273221591,0.0004000219603488
0.05,eta_0p05,0.16,30,-0.0109935832752246,0.0001773273039561,-0.0172053630732218,0.0003681475388838
0.05,eta_0p05,0.17,30,-0.0132621533368921,0.000206092533769,-0.0194739331348893,0.0004050586327854
0.05,eta_0p05,0.18,30,-0.0153281470975513,0.0002734829767393,-0.0215399268955485,0.0004592853204455
0.05,eta_0p05,0.19,30,-0.0176036470498407,0.0002899130603119,-0.0238154268478379,0.0004664408079119
0.05,eta_0p05,0.2,30,-0.0198137641176616,0.000343900436439,-0.0260255439156588,0.0005050140250037
0.05,eta_0p05,0.21,30,-0.0212819075749095,0.0003854077708995,-0.0274936873729067,0.000536774287642
0.05,eta_0p05,0.22,30,-0.0239788955774209,0.0004656670593849,-0.0301906753754181,0.0005999090440062
0.05,eta_0p05,0.23,30,-0.0265783066832601,0.0003950947792025,-0.0327900864812573,0.0005428144323986
0.05,eta_0p05,0.24,30,-0.0284985514474662,0.0004210467173326,-0.0347103312454634,0.0005268217842481
0.05,eta_0p05,0.25,30,-0.0313560269024306,0.0003647445430794,-0.0375678067004278,0.0005175756273342
0.05,eta_0p05,0.26,30,-0.0331148558909945,0.0005459319045635,-0.0393266356889917,0.0006647601298337
0.05,eta_0p05,0.27,30,-0.0356785151523201,0.0005077300474042,-0.0418902949503173,0.0006221940407868
0.05,eta_0p05,0.28,30,-0.0368480630468589,0.0004715825718046,-0.0430598428448561,0.0005898487164018
0.05,eta_0p05,0.29,30,-0.0385185858460297,0.0005359035952739,-0.0447303656440269,0.0005915501470125
0.05,eta_0p05,0.3,30,-0.0409655519503454,0.0005020704269546,-0.0471773317483426,0.0005756990675412
0.05,eta_0p05,0.31,30,-0.0421059981876161,0.0005838389138181,-0.0483177779856133,0.0006172775592696
0.05,eta_0p05,0.32,30,-0.0448857342599593,0.0006082150617461,-0.0510975140579566,0.0006748573534804
0.05,eta_0p05,0.33,30,-0.0464529848296358,0.0005425133227217,-0.052664764627633,0.0005971916023758
0.05,eta_0p05,0.34,30,-0.0472038085416855,0.000504194945737,-0.0534155883396827,0.0005685012049423
0.05,eta_0p05,0.35,30,-0.0494284987701959,0.0005521332892332,-0.0556402785681931,0.0005655980436744
0.05,eta_0p05,0.36,30,-0.0514568763452998,0.0006144598498115,-0.057668656143297,0.000598712810619
0.05,eta_0p05,0.37,30,-0.0518306447691129,0.0006864964100867,-0.0580424245671101,0.0007631520711579
