noise_eta,eta,radius,ref_count,reference_sd_logZ_inf_full,reference_se_logZ_inf_full,reference_mean_logZ_inf_full
noise_eta_0p05,0.05,0.01,30,1.186230495437034,0.21657506691713083,-1.4528349562169345
noise_eta_0p05,0.05,0.05,30,1.8986387837573035,0.3466424301393494,-3.396121705975657
noise_eta_0p05,0.05,0.1,30,3.4440195088759826,0.6287890578330798,-15.287190082871124
noise_eta_0p05,0.05,0.25,30,6.85937316129671,1.2523444702625768,-92.45437228975297
noise_eta_0p05,0.05,0.5,30,6.964800971536547,1.2715928668814878,-176.29203341778444
noise_eta_0p05,0.05,0.75,30,6.009117344616802,1.0971097067807223,-215.2643725446443
noise_eta_0p05,0.05,1.0,30,7.425048477475065,1.3556221805608275,-243.1140351821935
noise_eta_0p15,0.15,0.01,30,1.5810194955694223,0.2886533471929372,-2.00230515525308
noise_eta_0p15,0.15,0.05,30,2.7782133727945406,0.5072300446140264,-7.929431084178589
noise_eta_0p15,0.15,0.1,30,5.493190803966217,1.0029148386707454,-35.7695033569076
noise_eta_0p15,0.15,0.25,30,11.977375543432967,2.186759588282978,-184.11360715770303
noise_eta_0p15,0.15,0.5,30,9.589205973040617,1.7507414733325406,-288.97321396276106
noise_eta_0p15,0.15,0.75,30,6.7991235350427965,1.2413444438024022,-310.55128534641
noise_eta_0p15,0.15,1.0,30,8.853504607132205,1.616421395434074,-330.64801577317553
noise_eta_0p25,0.25,0.01,30,1.7528274426237,0.32002104324636427,-2.2466290611029502
noise_eta_0p25,0.25,0.05,30,2.6926366343983164,0.49160594127491625,-10.539016830784794
noise_eta_0p25,0.25,0.1,30,5.931302841675112,1.082902787259984,-48.22935602557013
noise_eta_0p25,0.25,0.25,30,20.431656993427957,3.7302931408362245,-240.9160223347223
noise_eta_0p25,0.25,0.5,30,10.72845659386515,1.958739227891661,-344.0154924206726
noise_eta_0p25,0.25,0.75,30,7.367815691530507,1.3451729512639277,-357.8145726041736
noise_eta_0p25,0.25,1.0,30,6.225954658988914,1.1366986029108708,-368.22834571153163
