rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,d_delta_phi_energy_direct_dd_unit_mean,d_delta_phi_energy_direct_dd_unit_sem,d_phi_energy_direct_dd_unit_mean,d_phi_energy_direct_dd_unit_sem,derivative_source
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.01,30,-0.00501040659545597,0.0002171585690417546,-0.00501040659545597,0.0002171585690417546,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.02,30,-0.01098152698323158,0.0004574193304102092,-0.01098152698323158,0.0004574193304102092,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.03,30,-0.018427466949234757,0.0007130420635333243,-0.018427466949234757,0.0007130420635333243,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.04,30,-0.027116517006448345,0.0009544094504418549,-0.027116517006448345,0.0009544094504418549,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.05,30,-0.03605863741500926,0.001097075445724788,-0.03605863741500926,0.001097075445724788,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.06,30,-0.04472069141828092,0.0012308165374029815,-0.04472069141828092,0.0012308165374029815,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.07,30,-0.05256247649873106,0.0012440178469841556,-0.05256247649873106,0.0012440178469841556,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.08,30,-0.0595587757515492,0.0013431462095645275,-0.0595587757515492,0.0013431462095645275,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.09,30,-0.06579858893319512,0.0012956934919726491,-0.06579858893319512,0.0012956934919726491,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.1,30,-0.07098976803578515,0.0014192837881481857,-0.07098976803578515,0.0014192837881481857,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.11,30,-0.0753524902674318,0.0014381171587892505,-0.0753524902674318,0.0014381171587892505,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.12,30,-0.07903896737572741,0.0011965512412521677,-0.07903896737572741,0.0011965512412521677,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.13,30,-0.0820108694924083,0.001302767286298586,-0.0820108694924083,0.001302767286298586,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.14,30,-0.08413624101366014,0.0014472250042088502,-0.08413624101366014,0.0014472250042088502,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.15,30,-0.08681535119054941,0.0009974523993158213,-0.08681535119054941,0.0009974523993158213,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.16,30,-0.08537993156444366,0.0013263678008461701,-0.08537993156444366,0.0013263678008461701,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.17,30,-0.08792115366327688,0.001057282059707863,-0.08792115366327688,0.001057282059707863,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.18,30,-0.08739056349218993,0.001347728160341173,-0.08739056349218993,0.001347728160341173,sampling_time_direct_radial_score_derivative
